PID,CT,A,W,Q,MT,MissedClicks
1,2,16,1,3,1494.239,2
1,2,8,1,1,925.4164,1
1,2,16,0.5,1,932.9281,1
1,2,16,0.5,1,786.7446,1
1,2,4,1,4,817.5316,1
1,2,16,0.5,4,864.7995,1
1,2,4,1.5,3,715.2844,1
1,2,4,1,2,681.8876,1
1,2,8,0.5,1,722.1288,1
1,2,4,1.5,2,670.351,1
1,2,16,1.5,2,712.2784,1
1,2,4,1,2,598.6652,1
1,2,16,0.5,2,1139.999,2
1,2,4,1,1,590.8127,1
1,2,8,1.5,4,693.8877,1
1,2,4,1,3,629.1962,1
1,2,8,0.5,2,628.7804,1
1,2,16,0.5,4,762.7563,1
1,2,16,1.5,1,818.7065,1
1,2,16,0.5,3,883.5678,1
1,2,8,1,2,680.8586,1
1,2,4,1.5,1,887.6438,2
1,2,4,1.5,4,631.9847,1
1,2,4,0.5,2,549.3584,1
1,2,8,0.5,2,698.0095,1
1,2,16,0.5,3,832.4966,1
1,2,8,1,3,655.5366,1
1,2,4,0.5,3,754.8676,2
1,2,8,0.5,3,835.1708,1
1,2,4,0.5,4,1114.601,1
1,2,8,0.5,1,842.5522,1
1,2,4,1.5,1,920.948,2
1,2,8,1.5,2,804.6685,1
1,2,16,1,1,806.3965,1
1,2,4,0.5,2,710.6705,1
1,2,16,0.5,2,775.8942,1
1,2,4,1.5,2,787.262,1
1,2,8,0.5,3,678.3447,1
1,2,4,1.5,3,743,1
1,2,8,1.5,4,731.4911,1
1,2,8,1.5,1,753.1815,1
1,2,8,1.5,3,743.1603,1
1,2,8,1,1,869.5297,1
1,2,8,1.5,3,1188.126,2
1,2,4,1,4,731.7886,1
1,2,16,1.5,4,811.5502,1
1,2,8,1.5,2,1451.29,2
1,2,4,0.5,1,673.996,1
1,2,8,0.5,4,978.1723,2
1,2,16,1,2,897.934,1
1,2,16,1,4,847.7859,1
1,2,4,1.5,4,838.8824,1
1,2,16,1.5,3,878.8757,1
1,2,4,1,1,815.5975,2
1,2,8,1,4,877.4414,1
1,2,16,1,2,961.7462,1
1,2,16,1.5,1,692.2684,1
1,2,8,1.5,1,632.6904,1
1,2,8,0.5,4,695.5109,1
1,2,4,0.5,3,712.5397,1
1,2,16,1.5,2,606.8268,1
1,2,8,1,2,612.7472,1
1,2,4,0.5,4,860.3058,1
1,2,16,1,4,850.9979,1
1,2,16,1,3,919.7311,1
1,2,8,1,3,868.988,1
1,2,8,1,4,749.1608,1
1,2,4,0.5,1,698.6694,1
1,2,16,1.5,4,694.9463,1
1,2,16,1.5,3,914.2914,1
1,2,4,1,3,634.5444,1
1,2,16,1,1,779.0985,1
